OBJECTID;NumeroZona;NomeZona;NumeroMuni;NomeMunici;NumDistrit;NomeDistri;Area_ha_2;ORIG_FID;COORD_X;COORD_Y
1;1;S?;36;S?o Paulo;80;S?;57.09999847;1;-46.6328627671116;-23.5494893708003
2;2;Parque Dom Pedro;36;S?o Paulo;80;S?;113.6399994;2;-46.6294318518531;-23.5437536946434
3;3;Pra?a Jo?o Mendes;36;S?o Paulo;80;S?;47.75;3;-46.6326436415312;-23.5541090158436
4;4;Ladeira da Mem?ria;36;S?o Paulo;67;Rep?blica;75.11000061;4;-46.6414551737443;-23.5511440985549
5;5;Rep?blica;36;S?o Paulo;67;Rep?blica;74.94999695;5;-46.642618273966;-23.5440175497649
6;6;Santa Ifig?nia;36;S?o Paulo;67;Rep?blica;82.93000031;6;-46.6382851012575;-23.5386872762244
7;7;Luz;36;S?o Paulo;9;Bom Retiro;154.6000061;7;-46.6342811715285;-23.5309649203437
8;8;Bom Retiro;36;S?o Paulo;9;Bom Retiro;143.0099945;8;-46.6444588448956;-23.5215550175817
9;9;Ponte Pequena;36;S?o Paulo;9;Bom Retiro;129.7799988;9;-46.6304070997636;-23.5236867210953
10;10;Canind?;36;S?o Paulo;57;Pari;82.61000061;10;-46.6209681314301;-23.5228393332052
11;11;Bom Jardim;36;S?o Paulo;57;Pari;49.84999847;11;-46.6107111558119;-23.5244564831558
12;12;Pari;36;S?o Paulo;57;Pari;140.1600037;12;-46.6170911019294;-23.5299606747793
13;13;Jo?o Teodoro;36;S?o Paulo;10;Br?s;39.31999969;13;-46.6212053546489;-23.5370869033877
14;14;Oriente;36;S?o Paulo;10;Br?s;69.87999725;14;-46.6137545980286;-23.5377067416237
15;15;Bresser;36;S?o Paulo;10;Br?s;76.98000336;15;-46.610916762215;-23.5434946771272
16;16;Br?s;36;S?o Paulo;10;Br?s;109.0800018;16;-46.618501116447;-23.5496164131259
17;17;Gas?metro;36;S?o Paulo;10;Br?s;69.34999847;17;-46.6232162080123;-23.5421915933216
18;18;Independ?ncia;36;S?o Paulo;14;Cambuci;253.75;18;-46.615049263516;-23.560119598931
19;19;Cambuci;36;S?o Paulo;14;Cambuci;140.4299927;19;-46.6193567060818;-23.5708279136428
20;20;Glic?rio;36;S?o Paulo;49;Liberdade;108.0199966;20;-46.6268563260163;-23.5636372764099
21;21;Aclima??o;36;S?o Paulo;49;Liberdade;113.6200027;21;-46.6303392665876;-23.5725646574328
22;22;Pires da Mota;36;S?o Paulo;49;Liberdade;50.02999878;22;-46.6350707801361;-23.5672037289933
23;23;Centro Cultural;36;S?o Paulo;49;Liberdade;33.24000168;23;-46.6377906766335;-23.5651827195876
24;24;Liberdade;36;S?o Paulo;49;Liberdade;59.49000168;24;-46.634956612497;-23.5594016428787
25;25;Treze de Maio;36;S?o Paulo;7;Bela Vista;42.84999847;25;-46.6478599058931;-23.554776834047
26;26;Bexiga;36;S?o Paulo;7;Bela Vista;51.75999832;26;-46.6418516483328;-23.5578994084905
27;27;Bela Vista;36;S?o Paulo;7;Bela Vista;93.80000305;27;-46.6443354686314;-23.5651703922113
28;28;S?o Carlos do Pinhal;36;S?o Paulo;7;Bela Vista;31.03000069;28;-46.6501305607965;-23.5625559165923
29;29;Masp;36;S?o Paulo;7;Bela Vista;57.27000046;29;-46.6537637194377;-23.5579694206138
30;30;Higien?polis;36;S?o Paulo;26;Consola??o;67.80999756;30;-46.6560679744947;-23.5449484246096
31;31;Vila Buarque;36;S?o Paulo;26;Consola??o;89.58000183;31;-46.6514817419939;-23.5483261558908
32;32;Consola??o;36;S?o Paulo;26;Consola??o;57.22999954;32;-46.6599763169974;-23.5541662663436
33;33;Pacaembu;36;S?o Paulo;26;Consola??o;90.44999695;33;-46.6683998124802;-23.5503000769423
34;34;FAAP;36;S?o Paulo;26;Consola??o;74.44999695;34;-46.6624041133795;-23.5439999266596
35;35;Santa Cec?lia;36;S?o Paulo;70;Santa Cec?lia;144.0899963;35;-46.6476303624956;-23.5350742776989
36;36;Marechal Deodoro;36;S?o Paulo;70;Santa Cec?lia;142.1999969;36;-46.6563475872542;-23.5326451487252
37;37;Rudge;36;S?o Paulo;70;Santa Cec?lia;84.73000336;37;-46.6540934486352;-23.5234151980012
38;38;Catumbi;36;S?o Paulo;8;Bel?m;81.44000244;38;-46.603671853423;-23.5282691927151
39;39;Bel?m;36;S?o Paulo;8;Bel?m;160.7100067;39;-46.5922133137432;-23.5330026644427
40;40;Quarta Parada;36;S?o Paulo;8;Bel?m;127.4000015;40;-46.5794844386067;-23.5447791800003
41;41;Belenzinho;36;S?o Paulo;8;Bel?m;180.1100006;41;-46.5944242471121;-23.5400838578263
42;42;Celso Garcia;36;S?o Paulo;8;Bel?m;63.88999939;42;-46.5964139961473;-23.5406033777775
43;43;Mooca;36;S?o Paulo;54;Mooca;271.7900085;43;-46.5989324664584;-23.5483790164195
44;44;Alto da Mooca;36;S?o Paulo;54;Mooca;141.6499939;44;-46.5946243367856;-23.5604759558666
45;45;Parque da Mooca;36;S?o Paulo;54;Mooca;381.4200134;45;-46.5924123043377;-23.5738144441955
46;46;?gua Rasa;36;S?o Paulo;1;?gua Rasa;315.8099976;46;-46.5646718013894;-23.5723617271333
47;47;Vila Bertioga;36;S?o Paulo;1;?gua Rasa;195.2799988;47;-46.5783673353412;-23.5664662310804
48;48;Regente Feij?;36;S?o Paulo;1;?gua Rasa;203.9600067;48;-46.5758086128988;-23.5566156171733
49;49;Ana Rosa;36;S?o Paulo;92;Vila Mariana;94.45999908;49;-46.6342973305602;-23.5785286742112
50;50;Jardim da Gl?ria;36;S?o Paulo;92;Vila Mariana;88.43000031;50;-46.6209204488255;-23.5820644234751
51;51;Ch?cara Klabin;36;S?o Paulo;92;Vila Mariana;97.56999969;51;-46.6254625704722;-23.5896891579152
